"issue_id","severity","category","evidence","root_cause","recommendation","owner","target_stage","kind"
"API-001","HIGH","malformed_endpoint","app/api/accounting/form-2307/route.ts:10","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-002","HIGH","malformed_endpoint","app/api/accounting/form-2307/route.ts:39","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-003","HIGH","malformed_endpoint","app/api/accounting/reports/route.ts:10","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-004","HIGH","malformed_endpoint","app/api/accounting/reports/route.ts:33","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-005","INFO","resolved","app/api/accounting/soa/route.ts:11","Validated and remapped to canonical backend module.","Resolved in Sprint 17 canonical mapping. See docs/architecture/contracts/s17-endpoint-contract.v1.md","hrms+portal","Stage 03","api"
"API-006","HIGH","module_drift","app/api/commissary/route.ts:86","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_dashboard.get_commissary_dashboard`.","hrms+portal","Stage 02/03","api"
"API-007","HIGH","module_drift","app/api/commissary/route.ts:96","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_dashboard.get_production_items`.","hrms+portal","Stage 02/03","api"
"API-008","HIGH","module_drift","app/api/commissary/route.ts:107","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_dashboard.get_production_history`.","hrms+portal","Stage 02/03","api"
"API-009","HIGH","module_drift","app/api/commissary/route.ts:327","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.get_rm_reorder_alerts`.","hrms+portal","Stage 02/03","api"
"API-010","HIGH","module_drift","app/api/commissary/route.ts:341","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.get_rm_for_requisition`.","hrms+portal","Stage 02/03","api"
"API-011","HIGH","module_drift","app/api/commissary/route.ts:356","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.get_my_requisitions`.","hrms+portal","Stage 02/03","api"
"API-012","HIGH","module_drift","app/api/commissary/route.ts:371","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.get_production_suggestions`.","hrms+portal","Stage 02/03","api"
"API-013","HIGH","module_drift","app/api/commissary/route.ts:388","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.get_work_orders`.","hrms+portal","Stage 02/03","api"
"API-014","HIGH","module_drift","app/api/commissary/route.ts:401","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.get_pending_inspections`.","hrms+portal","Stage 02/03","api"
"API-015","HIGH","module_drift","app/api/commissary/route.ts:418","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.get_inspection_history`.","hrms+portal","Stage 02/03","api"
"API-016","HIGH","module_drift","app/api/commissary/route.ts:438","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.get_inspection_details`.","hrms+portal","Stage 02/03","api"
"API-017","HIGH","module_drift","app/api/commissary/route.ts:455","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.get_wastage_history`.","hrms+portal","Stage 02/03","api"
"API-018","HIGH","module_drift","app/api/commissary/route.ts:469","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.get_wastage_reasons`.","hrms+portal","Stage 02/03","api"
"API-019","HIGH","module_drift","app/api/commissary/route.ts:484","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.get_wastage_trends`.","hrms+portal","Stage 02/03","api"
"API-020","HIGH","module_drift","app/api/commissary/route.ts:504","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.get_fefo_picking_list`.","hrms+portal","Stage 02/03","api"
"API-021","HIGH","module_drift","app/api/commissary/route.ts:521","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.get_expiring_batches`.","hrms+portal","Stage 02/03","api"
"API-022","HIGH","module_drift","app/api/commissary/route.ts:578","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_dashboard.submit_production_output`.","hrms+portal","Stage 02/03","api"
"API-023","HIGH","module_drift","app/api/commissary/route.ts:695","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.create_rm_requisition`.","hrms+portal","Stage 02/03","api"
"API-024","HIGH","module_drift","app/api/commissary/route.ts:719","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.approve_requisition`.","hrms+portal","Stage 02/03","api"
"API-025","HIGH","module_drift","app/api/commissary/route.ts:760","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.create_work_order`.","hrms+portal","Stage 02/03","api"
