ID,Department,Feature,Frontend Gap,Backend Gap,Blocker Type,Severity,Priority,Notes
GAP-001,HR Self-Service,BEI Shift Record → Frappe Attendance bridge,N/A,No bridge: verified GPS punches never written to Frappe Attendance; payroll reads Attendance not BEI Shift Record,Integration,Critical,URGENT,Employees using only the app appear absent in payroll. Entire GPS punch system disconnected from pay
GAP-002,HR Self-Service,Onboarding.py IndentationError lines 354-357,N/A,_create_employee_from_new_hire_request() has indentation bug; may cause SyntaxError at import; all onboarding endpoints return 500,Bug,Critical,URGENT,New hire creation via onboarding approval will crash at runtime
GAP-003,Store Ops / Warehouse,preview_trip_stops missing from dispatch.py,Trip Wizard Step 3 calls hrms.api.dispatch.preview_trip_stops,Function does NOT exist in dispatch.py; all stores show No order in wizard,Bug,Critical,URGENT,Trip Wizard Step 3 always broken; store auto-selection fails
GAP-004,Inventory,Cycle count v1 endpoint called from dashboard/counts,use-inventory.ts calls deprecated submit_cycle_count action,v1 throws This endpoint is deprecated immediately,Bug,Critical,URGENT,/dashboard/inventory/counts completely broken; stores cannot submit counts
GAP-005,HR Management,Overtime: 4 live endpoints zero frontend,No /hr/overtime/page.tsx,overtime.approve_overtime reject_overtime get_pending_overtime all LIVE,Frontend,Critical,URGENT,OT requests pile up with no human action; payroll may silently misprocess OT
GAP-006,Cross-cutting,ERP Sync AR Aging: log only,N/A,erp_sync.sync_ar_aging only calls frappe.log_error; no actual Sales Invoice updates,Backend Stub,Critical,URGENT,AR aging data fed by Sheets Receiver but Frappe side does nothing
GAP-007,Cross-cutting,ERP Sync Inventory: log only,N/A,erp_sync.sync_inventory only logs; no Stock Reconciliation created,Backend Stub,Critical,URGENT,Critical for ERP go-live; inventory never actually reconciled via sync
GAP-008,Cross-cutting,ERP Sync COA: log only,N/A,erp_sync.sync_coa only logs; no Account creation in ERPNext,Backend Stub,Critical,URGENT,COA accounts never created via sync
GAP-009,Cross-cutting,ERP Sync AP Opening: log only,N/A,erp_sync.sync_ap_opening only logs; no Purchase Invoices written,Backend Stub,Critical,URGENT,AP opening balances never written to ERP
GAP-010,Hire-to-Onboard,Recruitment kanban stage name mismatch,Frontend PIPELINE_STAGES: Applied/Screening/Interview/Offer/Hired,Backend update_applicant_stage valid: Open/Replied/Hold/Accepted/Rejected,Bug,Critical,URGENT,Kanban always shows 0 applicants; pipeline is non-functional
GAP-011,Hire-to-Onboard,Job Offer → Employee creation gap,No bridge between Job Offer acceptance and onboarding trigger,No auto-link; HR must manually open /onboarding/,Design,Critical,URGENT,HR must remember to do onboarding manually; no automation
GAP-012,Hire-to-Onboard,Employee ORM insert in onboarding,N/A,_create_employee_from_new_hire_request() uses ORM insert (5 cascading validation traps),Bug,Critical,URGENT,New hire creation may fail with cryptic Frappe validation errors
GAP-013,Finance,SOA: 3 endpoints zero frontend,No pages for generate/list/send SOA,soa.py fully implemented,Frontend,High,URGENT,Finance cannot generate Statement of Account from app
GAP-014,Finance,3PL Billing: 5+ endpoints zero frontend,No pages for 3PL recon/rates/JV/discrepancy,billing.py 3PL functions fully LIVE,Frontend,High,URGENT,Finance cannot process 3PL billing from app
GAP-015,Finance,Form 2307 EWT Certificate: tabComment storage,No dedicated FE page,Data stored as JSON string in tabComment body,Architecture,High,URGENT,Not searchable; no PDF for BIR submission; fragile string parsing
GAP-016,Procurement,BEI Purchase Order not submittable,N/A,is_submittable=0; approved POs editable post-approval,Architecture,High,URGENT,Procurement fraud risk; no docstatus audit trail
GAP-017,Procurement,Single Source Supplier report: no frontend,No /procurement/audit/single-source/ page,get_single_source_suppliers LIVE (AUDIT 2.7),Frontend,High,URGENT,Internal Audit Jan 30 finding (RIGHT GOODS 23.6M PHP) unmonitored from UI
GAP-018,Procurement,Form 2307: no DocType,No FE page,generate_form_2307_entry uses tabComment,Architecture,High,URGENT,Duplicate of GAP-015; also affects procurement module
GAP-019,HR Management,Leave rejection uses db_set not doc.cancel,N/A,reject_correction sets status=Rejected via db_set; docstatus stays 0; balance never corrected,Bug,High,HIGH,Leave Application balance not released on rejection
